feature,mean_importance
Cabin,-0.02065592969079697
Name_joseph,-0.017211388685588004
Ticket_oq,-0.011425248011598877
Name_annie,-0.011136474098963322
Ticket_ston,-0.011111300219631004
Name_thomas,-0.010470646017405372
Ticket_17582,-0.009174731554535498
Name_dr,-0.007226476298166418
Ticket_line,-0.00694096825539654
Name_george,-0.0066521225972562045
Name_arthur,-0.006561355889792208
Name_maria,-0.0048970238844953775
Name_august,-0.0045187042968616534
Name_charles,-0.0037482053064551435
Name_samuel,-0.003291566933128065
Name_alexander,-0.0027814114883530474
Name_alfred,-0.0022286490182360065
Ticket_paris,-0.0022216789171105368
Name_albert,-0.002136122622145531
PassengerId,-0.0021144099738971355
Ticket_29106,-0.002018214093231707
Name_ford,-0.002009031192504951
Name_anna,-0.001976243460274696
Ticket_113760,-0.0018625800567235063
Name_ellen,-0.0016602433386170956
Name_anne,-0.0015218982716192376
Name_jane,-0.001482049064261326
Name_nils,-0.001480795100868515
Name_carter,-0.0014395261785430601
Name_jr,-0.0012716626149192444
Name_peter,-0.0012029009296663728
Name_walter,-0.0011666671904671411
SibSp,-0.0010505189427549855
Name_mary,-0.0009322935834060297
Name_louise,-0.0008694460808576166
Ticket_13529,-0.0008013081157719482
Ticket_13502,-0.0007560406308121381
Name_frederick,-0.0007058371230989957
Ticket_o2,-0.0006838254925336073
Ticket_pc,-0.0004319054127317035
Name_johnson,-0.0003354608997029773
Name_frank,-0.00031510628311257614
Ticket_sc,-0.00030619884980440657
Fare,-0.00028582746429373085
Name_helen,-0.00012509777732063742
Name_patrick,-6.421913533214419e-05
Name_miss,-3.588506300313821e-05
Ticket_244367,0.0
Ticket_19950,0.0
Ticket_2123,0.0
Ticket_237736,0.0
Ticket_231919,0.0
Ticket_248727,0.0
Ticket_239853,0.0
Ticket_24160,0.0
Ticket_19928,0.0
Ticket_244252,0.0
Ticket_230080,0.0
Ticket_19877,0.0
Name_elisabeth,0.0
Ticket_17760,0.0
Ticket_11668,0.0
Ticket_11967,0.0
Ticket_12749,0.0
Ticket_16966,0.0
Ticket_17421,0.0
Ticket_17453,0.0
Ticket_17761,0.0
Ticket_17474,0.0
Ticket_17485,0.0
Ticket_17569,0.0
Ticket_17604,0.0
Ticket_248738,0.0
Ticket_17611,0.0
Ticket_17757,0.0
Ticket_17477,0.0
Ticket_17608,0.0
Ticket_2653,0.0
Ticket_250647,0.0
Ticket_349208,0.0
Ticket_349237,0.0
Ticket_35273,0.0
Ticket_358585,0.0
Ticket_367230,0.0
Ticket_36928,0.0
Ticket_347082,0.0
Ticket_36947,0.0
Ticket_370365,0.0
Ticket_371110,0.0
Ticket_37671,0.0
Ticket_54636,0.0
Ticket_6608,0.0
Ticket_7534,0.0
Ticket_370129,0.0
Ticket_347080,0.0
Ticket_34651,0.0
Ticket_345764,0.0
Ticket_26360,0.0
Ticket_2651,0.0
Ticket_113806,0.0
Ticket_2659,0.0
Ticket_2665,0.0
Ticket_2668,0.0
Ticket_2673,0.0
Ticket_2691,0.0
Ticket_2699,0.0
Ticket_2908,0.0
Ticket_3101279,0.0
Ticket_31027,0.0
Ticket_31921,0.0
Ticket_33112,0.0
Ticket_3381,0.0
Ticket_250644,0.0
Ticket_113803,0.0
Ticket_13507,0.0
Ticket_113776,0.0
Name_norman,0.0
Name_michael,0.0
Name_meyer,0.0
Name_borland,0.0
Name_madeleine,0.0
Name_mabel,0.0
Ticket_113781,0.0
Name_kelly,0.0
Name_katherine,0.0
Name_juha,0.0
Name_arnold,0.0
Name_campbell,0.0
Name_jakob,0.0
Name_ivan,0.0
Name_harry,0.0
Name_hanna,0.0
Name_daniel,0.0
Name_fortune,0.0
Name_eugene,0.0
Name_emily,0.0
Name_emil,0.0
Name_elsie,0.0
Name_jensen,0.0
Name_planke,0.0
Name_laroche,0.0
Ticket_111361,0.0
Name_thayer,0.0
Name_ada,0.0
Ticket_110152,0.0
Name_vander,0.0
Name_rene,0.0
Name_tannous,0.0
Name_taussig,0.0
Name_robert,0.0
Name_williams,0.0
Ticket_110413,0.0
Ticket_110465,0.0
Ticket_ah,5.252118382812476e-05
Name_elizabeth,8.921778068633479e-05
Embarked_C,0.00011625136650175171
Name_olsen,0.00013595309522593802
Name_william,0.00015234429314070486
Name_martin,0.00015239720442823402
Name_edward,0.00016072109109117606
Name_ernst,0.0002603132040703171
Name_james,0.0002829558231925766
Name_victor,0.00045726268745853725
Name_smith,0.0004986962390857386
Parch,0.0005218016019429061
Name_goodwin,0.0006984876272454477
Name_sofia,0.0007769565908291032
Name_catherine,0.000892132343222718
Name_alice,0.0009027714027597167
Name_hansen,0.0009302955021226689
Name_johan,0.0010582908966064951
Name_david,0.0010880551621254009
Ticket_soton,0.0012518238995047558
Ticket_2144,0.0013009045282213806
Name_francis,0.0013187342457171348
Name_elias,0.0014586686969420449
Ticket_ca,0.002188199646179245
Name_ernest,0.0032404650410064796
Name_brown,0.0035565238288478573
Name_henry,0.0035948071379677147
Name_skoog,0.0037640241264623063
Name_marie,0.004783511054786182
Ticket_3101295,0.00478648378446076
Name_richard,0.004798486265223945
Embarked_Q,0.006044490879877596
Ticket_347088,0.006240739347808111
Name_leonard,0.00625388093657595
Name_bertha,0.006816227805483121
Name_panula,0.006838781565843566
Name_mr,0.006913987447258107
Ticket_2666,0.007308139624052567
Name_rev,0.007438255144795481
Name_andersson,0.008062820497443335
Ticket_4133,0.008247865325382442
Name_margaret,0.00892204792415352
Age,0.010238065516599138
Ticket_pp,0.01067110495663599
Name_karl,0.01129115520342019
Ticket_347742,0.011426572743496144
Embarked_S,0.011475018022954609
Ticket_349909,0.011750745451821022
Name_john,0.014489483612599562
Ticket_1601,0.014957949023066663
Name_mrs,0.0166894512680819
Name_gustaf,0.01755988882688093
Ticket_14879,0.026426478118399776
Ticket_2343,0.027746055299739704
Ticket_382652,0.08284297032213299
Pclass,0.10883015428320897
Name_master,0.16677087395265358
Sex,0.47246864031800556
